,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
0,101,0,2,1381.0,719.0,65.76190476190476,1824.0,276.0,86.85714285714286,1657.0,443.0,78.9047619047619,2100.0,0.0,100.0,1381.0,719.0,65.76190476190476,2100.0,0.0,100.0
1,102,0,2,,,,,,,,,,,,,,,,,,
2,103,0,2,,,,,,,,,,,,,,,,,,
3,104,0,2,,,,,,,,,,,,,,,,,,
4,105,0,2,,,,,,,,,,,,,,,,,,
5,106,0,2,,,,,,,,,,,,,,,,,,
6,107,0,2,,,,,,,,,,,,,,,,,,
7,108,0,2,,,,,,,,,,,,,,,,,,
8,109,0,2,,,,,,,,,,,,,,,,,,
9,117,1,0,,,,,,,,,,,,,,,,,,
10,130,0,2,,,,,,,,,,,,,,,,,,
11,131,0,2,,,,,,,,,,,,,,,,,,
12,132,0,2,,,,,,,,,,,,,,,,,,
13,133,0,2,,,,,,,,,,,,,,,,,,
14,138,0,2,,,,,,,,,,,,,,,,,,
15,139,0,2,,,,,,,,,,,,,,,,,,
16,140,0,2,,,,,,,,,,,,,,,,,,
17,141,0,2,,,,,,,,,,,,,,,,,,
18,142,0,2,,,,,,,,,,,,,,,,,,
19,143,0,2,,,,,,,,,,,,,,,,,,
20,144,0,2,,,,,,,,,,,,,,,,,,
21,145,0,2,,,,,,,,,,,,,,,,,,
22,159,0,1,,,,,,,,,,,,,,,,,,
23,160,0,1,,,,,,,,,,,,,,,,,,
24,161,0,1,,,,,,,,,,,,,,,,,,
25,162,0,2,,,,,,,,,,,,,,,,,,
26,163,0,2,,,,,,,,,,,,,,,,,,
27,164,0,2,,,,,,,,,,,,,,,,,,
28,165,0,2,,,,,,,,,,,,,,,,,,
29,166,0,1,,,,,,,,,,,,,,,,,,
30,187,0,1,,,,,,,,,,,,,,,,,,
31,197,2,0,,,,,,,,,,,,,,,,,,
32,300,0,1,,,,,,,,,,,,,,,,,,
33,302,0,1,,,,,,,,,,,,,,,,,,
34,303,0,2,,,,,,,,,,,,,,,,,,
35,306,0,1,,,,,,,,,,,,,,,,,,
36,307,0,1,,,,,,,,,,,,,,,,,,
37,308,0,2,,,,,,,,,,,,,,,,,,
38,318,2,0,,,,,,,,,,,,,,,,,,
39,319,0,1,,,,,,,,,,,,,,,,,,
40,320,0,1,,,,,,,,,,,,,,,,,,
41,322,0,1,,,,,,,,,,,,,,,,,,
42,342,0,1,,,,,,,,,,,,,,,,,,
