,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
0,4600,2,1,3898.0,302.0,92.80952380952381,3898.0,302.0,92.80952380952381,4200.0,0.0,100.0,4200.0,0.0,100.0,3898.0,302.0,92.80952380952381,4200.0,0.0,100.0
1,4601,2,1,,,,,,,,,,,,,,,,,,
2,4602,2,1,,,,,,,,,,,,,,,,,,
3,4603,2,1,,,,,,,,,,,,,,,,,,
4,4604,2,1,,,,,,,,,,,,,,,,,,
5,4605,2,1,,,,,,,,,,,,,,,,,,
6,4606,2,1,,,,,,,,,,,,,,,,,,
7,4607,2,1,,,,,,,,,,,,,,,,,,
8,4608,2,1,,,,,,,,,,,,,,,,,,
9,4609,2,1,,,,,,,,,,,,,,,,,,
10,4610,2,1,,,,,,,,,,,,,,,,,,
11,4611,2,1,,,,,,,,,,,,,,,,,,
12,4612,2,1,,,,,,,,,,,,,,,,,,
13,4613,2,1,,,,,,,,,,,,,,,,,,
14,4614,2,1,,,,,,,,,,,,,,,,,,
15,4615,2,1,,,,,,,,,,,,,,,,,,
16,4616,2,1,,,,,,,,,,,,,,,,,,
17,4617,2,1,,,,,,,,,,,,,,,,,,
18,4618,2,1,,,,,,,,,,,,,,,,,,
19,4619,2,1,,,,,,,,,,,,,,,,,,
20,4620,2,1,,,,,,,,,,,,,,,,,,
21,4621,2,1,,,,,,,,,,,,,,,,,,
22,4622,2,1,,,,,,,,,,,,,,,,,,
23,4623,2,1,,,,,,,,,,,,,,,,,,
24,4624,2,1,,,,,,,,,,,,,,,,,,
25,4625,2,1,,,,,,,,,,,,,,,,,,
26,4626,2,1,,,,,,,,,,,,,,,,,,
27,4627,2,1,,,,,,,,,,,,,,,,,,
28,4628,2,1,,,,,,,,,,,,,,,,,,
29,4629,2,1,,,,,,,,,,,,,,,,,,
30,4630,2,1,,,,,,,,,,,,,,,,,,
31,4631,2,1,,,,,,,,,,,,,,,,,,
32,4632,2,1,,,,,,,,,,,,,,,,,,
33,4633,2,1,,,,,,,,,,,,,,,,,,
34,4634,2,1,,,,,,,,,,,,,,,,,,
35,4635,2,1,,,,,,,,,,,,,,,,,,
36,4636,2,1,,,,,,,,,,,,,,,,,,
37,4637,2,1,,,,,,,,,,,,,,,,,,
38,4638,2,1,,,,,,,,,,,,,,,,,,
39,4639,2,1,,,,,,,,,,,,,,,,,,
40,4640,2,1,,,,,,,,,,,,,,,,,,
41,4641,2,1,,,,,,,,,,,,,,,,,,
42,4642,2,1,,,,,,,,,,,,,,,,,,
43,4643,2,1,,,,,,,,,,,,,,,,,,
44,4644,2,1,,,,,,,,,,,,,,,,,,
45,4645,2,1,,,,,,,,,,,,,,,,,,
46,4646,2,1,,,,,,,,,,,,,,,,,,
47,4647,2,1,,,,,,,,,,,,,,,,,,
48,4648,2,1,,,,,,,,,,,,,,,,,,
49,4649,2,1,,,,,,,,,,,,,,,,,,
50,4650,2,1,,,,,,,,,,,,,,,,,,
51,4651,2,1,,,,,,,,,,,,,,,,,,
52,4652,2,1,,,,,,,,,,,,,,,,,,
53,4653,2,1,,,,,,,,,,,,,,,,,,
54,4654,2,1,,,,,,,,,,,,,,,,,,
55,4655,2,1,,,,,,,,,,,,,,,,,,
56,4656,2,1,,,,,,,,,,,,,,,,,,
57,4657,2,1,,,,,,,,,,,,,,,,,,
58,4658,2,1,,,,,,,,,,,,,,,,,,
59,4659,2,1,,,,,,,,,,,,,,,,,,
60,4660,2,1,,,,,,,,,,,,,,,,,,
61,4661,2,1,,,,,,,,,,,,,,,,,,
62,4662,2,1,,,,,,,,,,,,,,,,,,
63,4663,2,1,,,,,,,,,,,,,,,,,,
