,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
0,100,6,0,5193.0,1207.0,81.140625,6309.0,91.0,98.578125,6400.0,0.0,100.0,6220.0,180.0,97.1875,6129.0,271.0,95.765625,5464.0,936.0,85.375
1,101,0,7,,,,,,,,,,,,,,,,,,
2,102,0,7,,,,,,,,,,,,,,,,,,
3,103,0,7,,,,,,,,,,,,,,,,,,
4,104,0,7,,,,,,,,,,,,,,,,,,
5,105,0,5,,,,,,,,,,,,,,,,,,
6,106,0,7,,,,,,,,,,,,,,,,,,
7,107,0,3,,,,,,,,,,,,,,,,,,
8,108,0,3,,,,,,,,,,,,,,,,,,
9,109,0,7,,,,,,,,,,,,,,,,,,
10,117,6,0,,,,,,,,,,,,,,,,,,
11,118,1,0,,,,,,,,,,,,,,,,,,
12,119,1,0,,,,,,,,,,,,,,,,,,
13,120,1,0,,,,,,,,,,,,,,,,,,
14,130,0,4,,,,,,,,,,,,,,,,,,
15,131,0,6,,,,,,,,,,,,,,,,,,
16,132,7,5,,,,,,,,,,,,,,,,,,
17,134,6,0,,,,,,,,,,,,,,,,,,
18,138,0,3,,,,,,,,,,,,,,,,,,
19,139,7,5,,,,,,,,,,,,,,,,,,
20,140,0,3,,,,,,,,,,,,,,,,,,
21,141,7,3,,,,,,,,,,,,,,,,,,
22,142,7,5,,,,,,,,,,,,,,,,,,
23,143,1,4,,,,,,,,,,,,,,,,,,
24,144,6,4,,,,,,,,,,,,,,,,,,
25,145,0,4,,,,,,,,,,,,,,,,,,
26,147,4,0,,,,,,,,,,,,,,,,,,
27,149,4,0,,,,,,,,,,,,,,,,,,
28,154,1,0,,,,,,,,,,,,,,,,,,
29,159,0,1,,,,,,,,,,,,,,,,,,
30,160,0,2,,,,,,,,,,,,,,,,,,
31,161,0,2,,,,,,,,,,,,,,,,,,
32,162,0,3,,,,,,,,,,,,,,,,,,
33,163,0,7,,,,,,,,,,,,,,,,,,
34,164,4,5,,,,,,,,,,,,,,,,,,
35,165,0,6,,,,,,,,,,,,,,,,,,
36,166,0,1,,,,,,,,,,,,,,,,,,
37,174,8,0,,,,,,,,,,,,,,,,,,
38,179,2,0,,,,,,,,,,,,,,,,,,
39,182,4,0,,,,,,,,,,,,,,,,,,
40,187,0,1,,,,,,,,,,,,,,,,,,
41,192,1,0,,,,,,,,,,,,,,,,,,
42,194,6,0,,,,,,,,,,,,,,,,,,
43,195,4,0,,,,,,,,,,,,,,,,,,
44,300,0,1,,,,,,,,,,,,,,,,,,
45,302,0,2,,,,,,,,,,,,,,,,,,
46,303,0,4,,,,,,,,,,,,,,,,,,
47,306,0,2,,,,,,,,,,,,,,,,,,
48,307,0,2,,,,,,,,,,,,,,,,,,
49,308,0,5,,,,,,,,,,,,,,,,,,
50,318,1,0,,,,,,,,,,,,,,,,,,
51,319,0,1,,,,,,,,,,,,,,,,,,
52,320,0,1,,,,,,,,,,,,,,,,,,
53,322,0,1,,,,,,,,,,,,,,,,,,
54,324,3,0,,,,,,,,,,,,,,,,,,
55,327,2,0,,,,,,,,,,,,,,,,,,
56,342,0,2,,,,,,,,,,,,,,,,,,
57,343,0,1,,,,,,,,,,,,,,,,,,
58,344,0,3,,,,,,,,,,,,,,,,,,
59,347,4,0,,,,,,,,,,,,,,,,,,
60,348,2,0,,,,,,,,,,,,,,,,,,
61,349,2,0,,,,,,,,,,,,,,,,,,
62,350,2,0,,,,,,,,,,,,,,,,,,
63,353,2,0,,,,,,,,,,,,,,,,,,
64,357,0,2,,,,,,,,,,,,,,,,,,
65,359,0,6,,,,,,,,,,,,,,,,,,
66,360,0,6,,,,,,,,,,,,,,,,,,
67,361,0,6,,,,,,,,,,,,,,,,,,
68,362,0,5,,,,,,,,,,,,,,,,,,
69,364,2,0,,,,,,,,,,,,,,,,,,
70,366,3,0,,,,,,,,,,,,,,,,,,
71,367,3,1,,,,,,,,,,,,,,,,,,
72,368,4,1,,,,,,,,,,,,,,,,,,
73,382,1,0,,,,,,,,,,,,,,,,,,
74,388,1,0,,,,,,,,,,,,,,,,,,
75,392,0,5,,,,,,,,,,,,,,,,,,
76,393,1,0,,,,,,,,,,,,,,,,,,
77,395,1,0,,,,,,,,,,,,,,,,,,
78,397,2,0,,,,,,,,,,,,,,,,,,
79,500,0,4,,,,,,,,,,,,,,,,,,
80,501,0,7,,,,,,,,,,,,,,,,,,
81,502,0,6,,,,,,,,,,,,,,,,,,
82,503,0,7,,,,,,,,,,,,,,,,,,
83,507,1,0,,,,,,,,,,,,,,,,,,
84,522,5,0,,,,,,,,,,,,,,,,,,
85,530,0,2,,,,,,,,,,,,,,,,,,
86,531,0,1,,,,,,,,,,,,,,,,,,
87,532,0,2,,,,,,,,,,,,,,,,,,
88,533,0,2,,,,,,,,,,,,,,,,,,
89,534,0,5,,,,,,,,,,,,,,,,,,
90,535,6,8,,,,,,,,,,,,,,,,,,
91,536,6,8,,,,,,,,,,,,,,,,,,
92,537,0,8,,,,,,,,,,,,,,,,,,
93,542,1,0,,,,,,,,,,,,,,,,,,
94,547,0,7,,,,,,,,,,,,,,,,,,
95,548,0,6,,,,,,,,,,,,,,,,,,
96,549,0,2,,,,,,,,,,,,,,,,,,
97,550,2,0,,,,,,,,,,,,,,,,,,
98,551,3,0,,,,,,,,,,,,,,,,,,
99,552,2,1,,,,,,,,,,,,,,,,,,
100,553,2,1,,,,,,,,,,,,,,,,,,
101,554,0,1,,,,,,,,,,,,,,,,,,
102,555,0,1,,,,,,,,,,,,,,,,,,
103,556,2,8,,,,,,,,,,,,,,,,,,
104,557,0,6,,,,,,,,,,,,,,,,,,
105,558,0,7,,,,,,,,,,,,,,,,,,
106,559,0,6,,,,,,,,,,,,,,,,,,
107,560,0,6,,,,,,,,,,,,,,,,,,
108,561,0,8,,,,,,,,,,,,,,,,,,
109,562,0,2,,,,,,,,,,,,,,,,,,
110,569,0,7,,,,,,,,,,,,,,,,,,
111,571,0,1,,,,,,,,,,,,,,,,,,
112,575,1,2,,,,,,,,,,,,,,,,,,
113,577,5,1,,,,,,,,,,,,,,,,,,
114,579,0,2,,,,,,,,,,,,,,,,,,
115,580,2,0,,,,,,,,,,,,,,,,,,
116,586,8,0,,,,,,,,,,,,,,,,,,
117,587,0,2,,,,,,,,,,,,,,,,,,
118,596,1,0,,,,,,,,,,,,,,,,,,
119,703,0,1,,,,,,,,,,,,,,,,,,
120,704,0,3,,,,,,,,,,,,,,,,,,
121,705,0,1,,,,,,,,,,,,,,,,,,
122,722,1,0,,,,,,,,,,,,,,,,,,
123,736,2,0,,,,,,,,,,,,,,,,,,
124,740,2,0,,,,,,,,,,,,,,,,,,
125,741,2,0,,,,,,,,,,,,,,,,,,
126,743,4,0,,,,,,,,,,,,,,,,,,
127,745,2,0,,,,,,,,,,,,,,,,,,
128,747,1,0,,,,,,,,,,,,,,,,,,
129,749,4,1,,,,,,,,,,,,,,,,,,
130,755,2,0,,,,,,,,,,,,,,,,,,
131,756,0,7,,,,,,,,,,,,,,,,,,
132,765,0,3,,,,,,,,,,,,,,,,,,
133,773,3,0,,,,,,,,,,,,,,,,,,
