,IMG No.,Prediction,Actual Value,Right,Wrong,%,M1Right,M1Wrong,M1%,M2Right,M2Wrong,M2%,M3Right,M3Wrong,M3%,M1-3Right,M1-3Wrong,M1-3%,M4-7Right,M4-7Wrong,M4-7%
0,0,3,0,4662.0,1838.0,71.72307692307692,6435.0,65.0,99.0,6500.0,0.0,100.0,6188.0,312.0,95.19999999999999,6123.0,377.0,94.19999999999999,5039.0,1461.0,77.52307692307693
1,1,3,0,,,,,,,,,,,,,,,,,,
2,2,2,0,,,,,,,,,,,,,,,,,,
3,27,4,0,,,,,,,,,,,,,,,,,,
4,34,1,0,,,,,,,,,,,,,,,,,,
5,39,1,0,,,,,,,,,,,,,,,,,,
6,40,1,0,,,,,,,,,,,,,,,,,,
7,46,7,0,,,,,,,,,,,,,,,,,,
8,47,8,0,,,,,,,,,,,,,,,,,,
9,48,6,0,,,,,,,,,,,,,,,,,,
10,51,1,0,,,,,,,,,,,,,,,,,,
11,52,3,0,,,,,,,,,,,,,,,,,,
12,53,1,0,,,,,,,,,,,,,,,,,,
13,58,1,0,,,,,,,,,,,,,,,,,,
14,60,8,0,,,,,,,,,,,,,,,,,,
15,62,1,0,,,,,,,,,,,,,,,,,,
16,76,7,0,,,,,,,,,,,,,,,,,,
17,78,1,0,,,,,,,,,,,,,,,,,,
18,80,1,0,,,,,,,,,,,,,,,,,,
19,209,4,0,,,,,,,,,,,,,,,,,,
20,210,4,0,,,,,,,,,,,,,,,,,,
21,211,1,0,,,,,,,,,,,,,,,,,,
22,223,1,0,,,,,,,,,,,,,,,,,,
23,226,3,0,,,,,,,,,,,,,,,,,,
24,230,2,0,,,,,,,,,,,,,,,,,,
25,235,7,0,,,,,,,,,,,,,,,,,,
26,239,7,0,,,,,,,,,,,,,,,,,,
27,240,6,0,,,,,,,,,,,,,,,,,,
28,253,7,0,,,,,,,,,,,,,,,,,,
29,255,1,0,,,,,,,,,,,,,,,,,,
30,261,1,0,,,,,,,,,,,,,,,,,,
31,262,2,0,,,,,,,,,,,,,,,,,,
32,267,1,0,,,,,,,,,,,,,,,,,,
33,268,1,0,,,,,,,,,,,,,,,,,,
34,269,4,0,,,,,,,,,,,,,,,,,,
35,272,8,0,,,,,,,,,,,,,,,,,,
36,273,4,0,,,,,,,,,,,,,,,,,,
37,274,1,0,,,,,,,,,,,,,,,,,,
38,275,2,0,,,,,,,,,,,,,,,,,,
39,278,7,0,,,,,,,,,,,,,,,,,,
40,284,2,0,,,,,,,,,,,,,,,,,,
41,291,6,0,,,,,,,,,,,,,,,,,,
42,293,8,0,,,,,,,,,,,,,,,,,,
43,294,8,0,,,,,,,,,,,,,,,,,,
44,400,1,0,,,,,,,,,,,,,,,,,,
45,401,1,0,,,,,,,,,,,,,,,,,,
46,402,1,0,,,,,,,,,,,,,,,,,,
47,406,6,0,,,,,,,,,,,,,,,,,,
48,414,7,0,,,,,,,,,,,,,,,,,,
49,416,1,0,,,,,,,,,,,,,,,,,,
50,423,7,0,,,,,,,,,,,,,,,,,,
51,432,3,0,,,,,,,,,,,,,,,,,,
52,433,3,0,,,,,,,,,,,,,,,,,,
53,434,3,0,,,,,,,,,,,,,,,,,,
54,435,8,0,,,,,,,,,,,,,,,,,,
55,436,8,0,,,,,,,,,,,,,,,,,,
56,437,8,0,,,,,,,,,,,,,,,,,,
57,438,8,0,,,,,,,,,,,,,,,,,,
58,439,8,0,,,,,,,,,,,,,,,,,,
59,441,8,0,,,,,,,,,,,,,,,,,,
60,461,8,0,,,,,,,,,,,,,,,,,,
61,462,7,0,,,,,,,,,,,,,,,,,,
62,496,1,0,,,,,,,,,,,,,,,,,,
63,497,8,0,,,,,,,,,,,,,,,,,,
64,602,4,0,,,,,,,,,,,,,,,,,,
65,611,8,0,,,,,,,,,,,,,,,,,,
66,612,8,0,,,,,,,,,,,,,,,,,,
67,613,8,0,,,,,,,,,,,,,,,,,,
68,614,8,0,,,,,,,,,,,,,,,,,,
69,615,8,0,,,,,,,,,,,,,,,,,,
70,624,4,0,,,,,,,,,,,,,,,,,,
71,644,7,0,,,,,,,,,,,,,,,,,,
72,645,1,0,,,,,,,,,,,,,,,,,,
73,646,4,0,,,,,,,,,,,,,,,,,,
74,649,7,0,,,,,,,,,,,,,,,,,,
75,661,7,0,,,,,,,,,,,,,,,,,,
76,663,6,0,,,,,,,,,,,,,,,,,,
77,664,7,0,,,,,,,,,,,,,,,,,,
78,665,8,0,,,,,,,,,,,,,,,,,,
79,666,8,0,,,,,,,,,,,,,,,,,,
80,667,7,0,,,,,,,,,,,,,,,,,,
81,669,1,0,,,,,,,,,,,,,,,,,,
82,676,2,0,,,,,,,,,,,,,,,,,,
83,680,1,0,,,,,,,,,,,,,,,,,,
84,681,7,0,,,,,,,,,,,,,,,,,,
85,687,7,0,,,,,,,,,,,,,,,,,,
86,689,2,0,,,,,,,,,,,,,,,,,,
87,690,1,0,,,,,,,,,,,,,,,,,,
88,693,6,0,,,,,,,,,,,,,,,,,,
89,694,8,0,,,,,,,,,,,,,,,,,,
90,695,8,0,,,,,,,,,,,,,,,,,,
91,800,1,0,,,,,,,,,,,,,,,,,,
92,805,3,0,,,,,,,,,,,,,,,,,,
93,806,3,0,,,,,,,,,,,,,,,,,,
94,807,3,0,,,,,,,,,,,,,,,,,,
95,808,7,0,,,,,,,,,,,,,,,,,,
96,809,3,0,,,,,,,,,,,,,,,,,,
97,812,1,0,,,,,,,,,,,,,,,,,,
98,814,1,0,,,,,,,,,,,,,,,,,,
99,815,1,0,,,,,,,,,,,,,,,,,,
100,816,6,0,,,,,,,,,,,,,,,,,,
101,817,1,0,,,,,,,,,,,,,,,,,,
102,818,1,0,,,,,,,,,,,,,,,,,,
103,825,1,0,,,,,,,,,,,,,,,,,,
104,828,1,0,,,,,,,,,,,,,,,,,,
105,832,1,0,,,,,,,,,,,,,,,,,,
106,838,1,0,,,,,,,,,,,,,,,,,,
107,839,6,0,,,,,,,,,,,,,,,,,,
108,851,8,0,,,,,,,,,,,,,,,,,,
109,861,8,0,,,,,,,,,,,,,,,,,,
110,862,8,0,,,,,,,,,,,,,,,,,,
111,863,1,0,,,,,,,,,,,,,,,,,,
112,864,1,0,,,,,,,,,,,,,,,,,,
113,865,1,0,,,,,,,,,,,,,,,,,,
114,867,7,0,,,,,,,,,,,,,,,,,,
115,868,5,0,,,,,,,,,,,,,,,,,,
116,870,1,0,,,,,,,,,,,,,,,,,,
117,872,1,0,,,,,,,,,,,,,,,,,,
118,873,1,0,,,,,,,,,,,,,,,,,,
119,874,1,0,,,,,,,,,,,,,,,,,,
120,875,1,0,,,,,,,,,,,,,,,,,,
121,876,1,0,,,,,,,,,,,,,,,,,,
122,877,1,0,,,,,,,,,,,,,,,,,,
123,878,3,0,,,,,,,,,,,,,,,,,,
124,883,8,0,,,,,,,,,,,,,,,,,,
125,885,8,0,,,,,,,,,,,,,,,,,,
126,890,8,0,,,,,,,,,,,,,,,,,,
127,891,8,0,,,,,,,,,,,,,,,,,,
128,892,2,0,,,,,,,,,,,,,,,,,,
129,893,1,0,,,,,,,,,,,,,,,,,,
130,897,8,0,,,,,,,,,,,,,,,,,,
131,1000,2,0,,,,,,,,,,,,,,,,,,
132,1005,1,0,,,,,,,,,,,,,,,,,,
133,1006,1,0,,,,,,,,,,,,,,,,,,
134,1007,1,0,,,,,,,,,,,,,,,,,,
135,1010,8,0,,,,,,,,,,,,,,,,,,
136,1016,4,0,,,,,,,,,,,,,,,,,,
137,1017,5,0,,,,,,,,,,,,,,,,,,
138,1019,8,0,,,,,,,,,,,,,,,,,,
139,1021,5,0,,,,,,,,,,,,,,,,,,
140,1023,1,0,,,,,,,,,,,,,,,,,,
141,1024,4,0,,,,,,,,,,,,,,,,,,
142,1029,2,0,,,,,,,,,,,,,,,,,,
143,1043,7,0,,,,,,,,,,,,,,,,,,
144,1045,8,0,,,,,,,,,,,,,,,,,,
145,1046,8,0,,,,,,,,,,,,,,,,,,
146,1053,8,0,,,,,,,,,,,,,,,,,,
147,1054,8,0,,,,,,,,,,,,,,,,,,
148,1055,7,0,,,,,,,,,,,,,,,,,,
149,1071,2,0,,,,,,,,,,,,,,,,,,
150,1072,6,0,,,,,,,,,,,,,,,,,,
151,1073,7,0,,,,,,,,,,,,,,,,,,
152,1074,8,0,,,,,,,,,,,,,,,,,,
153,1080,3,0,,,,,,,,,,,,,,,,,,
154,1081,3,0,,,,,,,,,,,,,,,,,,
155,1083,1,0,,,,,,,,,,,,,,,,,,
156,1085,7,0,,,,,,,,,,,,,,,,,,
157,1086,8,0,,,,,,,,,,,,,,,,,,
158,1099,8,0,,,,,,,,,,,,,,,,,,
159,1203,7,0,,,,,,,,,,,,,,,,,,
160,1205,8,0,,,,,,,,,,,,,,,,,,
161,1206,4,0,,,,,,,,,,,,,,,,,,
162,1214,1,0,,,,,,,,,,,,,,,,,,
163,1218,1,0,,,,,,,,,,,,,,,,,,
164,1225,8,0,,,,,,,,,,,,,,,,,,
165,1226,8,0,,,,,,,,,,,,,,,,,,
166,1228,8,0,,,,,,,,,,,,,,,,,,
167,1233,4,0,,,,,,,,,,,,,,,,,,
168,1236,3,0,,,,,,,,,,,,,,,,,,
169,1237,8,0,,,,,,,,,,,,,,,,,,
170,1239,8,0,,,,,,,,,,,,,,,,,,
171,1240,7,0,,,,,,,,,,,,,,,,,,
172,1247,6,0,,,,,,,,,,,,,,,,,,
173,1253,1,0,,,,,,,,,,,,,,,,,,
174,1254,2,0,,,,,,,,,,,,,,,,,,
175,1255,8,0,,,,,,,,,,,,,,,,,,
176,1259,2,0,,,,,,,,,,,,,,,,,,
177,1262,4,0,,,,,,,,,,,,,,,,,,
178,1283,6,0,,,,,,,,,,,,,,,,,,
179,1285,8,0,,,,,,,,,,,,,,,,,,
180,1286,8,0,,,,,,,,,,,,,,,,,,
181,1288,4,0,,,,,,,,,,,,,,,,,,
182,1289,1,0,,,,,,,,,,,,,,,,,,
183,1292,6,0,,,,,,,,,,,,,,,,,,
184,1293,6,0,,,,,,,,,,,,,,,,,,
185,1295,4,0,,,,,,,,,,,,,,,,,,
186,1296,4,0,,,,,,,,,,,,,,,,,,
187,1297,4,0,,,,,,,,,,,,,,,,,,
188,1298,6,0,,,,,,,,,,,,,,,,,,
189,1299,8,0,,,,,,,,,,,,,,,,,,
190,1403,8,0,,,,,,,,,,,,,,,,,,
191,1404,7,0,,,,,,,,,,,,,,,,,,
192,1427,8,0,,,,,,,,,,,,,,,,,,
193,1429,8,0,,,,,,,,,,,,,,,,,,
194,1430,4,0,,,,,,,,,,,,,,,,,,
195,1431,2,0,,,,,,,,,,,,,,,,,,
196,1432,2,0,,,,,,,,,,,,,,,,,,
197,1433,2,0,,,,,,,,,,,,,,,,,,
198,1436,6,0,,,,,,,,,,,,,,,,,,
199,1437,6,0,,,,,,,,,,,,,,,,,,
200,1442,6,0,,,,,,,,,,,,,,,,,,
201,1443,8,0,,,,,,,,,,,,,,,,,,
202,1451,2,0,,,,,,,,,,,,,,,,,,
203,1453,4,0,,,,,,,,,,,,,,,,,,
204,1454,6,0,,,,,,,,,,,,,,,,,,
205,1465,1,0,,,,,,,,,,,,,,,,,,
206,1473,6,0,,,,,,,,,,,,,,,,,,
207,1475,3,0,,,,,,,,,,,,,,,,,,
208,1476,2,0,,,,,,,,,,,,,,,,,,
209,1478,1,0,,,,,,,,,,,,,,,,,,
210,1479,8,0,,,,,,,,,,,,,,,,,,
211,1482,8,0,,,,,,,,,,,,,,,,,,
212,1484,1,0,,,,,,,,,,,,,,,,,,
213,1491,2,0,,,,,,,,,,,,,,,,,,
214,1494,1,0,,,,,,,,,,,,,,,,,,
215,1496,1,0,,,,,,,,,,,,,,,,,,
216,1604,8,0,,,,,,,,,,,,,,,,,,
217,1605,7,0,,,,,,,,,,,,,,,,,,
218,1606,3,0,,,,,,,,,,,,,,,,,,
219,1630,6,0,,,,,,,,,,,,,,,,,,
220,1631,8,0,,,,,,,,,,,,,,,,,,
221,1634,1,0,,,,,,,,,,,,,,,,,,
222,1635,1,0,,,,,,,,,,,,,,,,,,
223,1637,7,0,,,,,,,,,,,,,,,,,,
224,1640,7,0,,,,,,,,,,,,,,,,,,
225,1641,8,0,,,,,,,,,,,,,,,,,,
226,1642,8,0,,,,,,,,,,,,,,,,,,
227,1643,8,0,,,,,,,,,,,,,,,,,,
228,1654,8,0,,,,,,,,,,,,,,,,,,
229,1659,7,0,,,,,,,,,,,,,,,,,,
230,1660,7,0,,,,,,,,,,,,,,,,,,
231,1661,4,0,,,,,,,,,,,,,,,,,,
232,1662,5,0,,,,,,,,,,,,,,,,,,
233,1679,8,0,,,,,,,,,,,,,,,,,,
234,1687,8,0,,,,,,,,,,,,,,,,,,
235,1688,7,0,,,,,,,,,,,,,,,,,,
236,1689,8,0,,,,,,,,,,,,,,,,,,
237,1691,7,0,,,,,,,,,,,,,,,,,,
238,1692,6,0,,,,,,,,,,,,,,,,,,
239,1698,8,0,,,,,,,,,,,,,,,,,,
240,1699,6,0,,,,,,,,,,,,,,,,,,
241,1800,4,0,,,,,,,,,,,,,,,,,,
242,1824,1,0,,,,,,,,,,,,,,,,,,
243,1825,2,0,,,,,,,,,,,,,,,,,,
244,1835,4,0,,,,,,,,,,,,,,,,,,
245,1844,2,0,,,,,,,,,,,,,,,,,,
246,1845,1,0,,,,,,,,,,,,,,,,,,
247,1847,8,0,,,,,,,,,,,,,,,,,,
248,1849,7,0,,,,,,,,,,,,,,,,,,
249,1850,8,0,,,,,,,,,,,,,,,,,,
250,1851,8,0,,,,,,,,,,,,,,,,,,
251,1860,8,0,,,,,,,,,,,,,,,,,,
252,1861,2,0,,,,,,,,,,,,,,,,,,
253,1862,7,0,,,,,,,,,,,,,,,,,,
254,1864,4,0,,,,,,,,,,,,,,,,,,
255,1869,4,0,,,,,,,,,,,,,,,,,,
256,1871,7,0,,,,,,,,,,,,,,,,,,
257,1874,8,0,,,,,,,,,,,,,,,,,,
258,1877,8,0,,,,,,,,,,,,,,,,,,
259,1879,1,0,,,,,,,,,,,,,,,,,,
260,1886,1,0,,,,,,,,,,,,,,,,,,
261,2006,1,0,,,,,,,,,,,,,,,,,,
262,2019,6,0,,,,,,,,,,,,,,,,,,
263,2020,4,0,,,,,,,,,,,,,,,,,,
264,2021,1,0,,,,,,,,,,,,,,,,,,
265,2022,1,0,,,,,,,,,,,,,,,,,,
266,2029,6,0,,,,,,,,,,,,,,,,,,
267,2030,6,0,,,,,,,,,,,,,,,,,,
268,2033,1,0,,,,,,,,,,,,,,,,,,
269,2034,1,0,,,,,,,,,,,,,,,,,,
270,2035,1,0,,,,,,,,,,,,,,,,,,
271,2037,6,0,,,,,,,,,,,,,,,,,,
272,2042,3,0,,,,,,,,,,,,,,,,,,
273,2047,6,0,,,,,,,,,,,,,,,,,,
274,2050,4,0,,,,,,,,,,,,,,,,,,
275,2059,4,0,,,,,,,,,,,,,,,,,,
276,2079,2,0,,,,,,,,,,,,,,,,,,
277,2080,8,0,,,,,,,,,,,,,,,,,,
278,2092,8,0,,,,,,,,,,,,,,,,,,
279,2093,4,0,,,,,,,,,,,,,,,,,,
280,2098,8,0,,,,,,,,,,,,,,,,,,
281,2216,6,0,,,,,,,,,,,,,,,,,,
282,2235,5,0,,,,,,,,,,,,,,,,,,
283,2239,7,0,,,,,,,,,,,,,,,,,,
284,2244,5,0,,,,,,,,,,,,,,,,,,
285,2245,4,0,,,,,,,,,,,,,,,,,,
286,2249,1,0,,,,,,,,,,,,,,,,,,
287,2255,1,0,,,,,,,,,,,,,,,,,,
288,2256,1,0,,,,,,,,,,,,,,,,,,
289,2258,5,0,,,,,,,,,,,,,,,,,,
290,2263,2,0,,,,,,,,,,,,,,,,,,
291,2271,8,0,,,,,,,,,,,,,,,,,,
292,2272,2,0,,,,,,,,,,,,,,,,,,
293,2273,8,0,,,,,,,,,,,,,,,,,,
294,2276,1,0,,,,,,,,,,,,,,,,,,
295,2281,4,0,,,,,,,,,,,,,,,,,,
296,2290,4,0,,,,,,,,,,,,,,,,,,
297,2291,4,0,,,,,,,,,,,,,,,,,,
298,2296,1,0,,,,,,,,,,,,,,,,,,
299,2412,1,0,,,,,,,,,,,,,,,,,,
300,2422,1,0,,,,,,,,,,,,,,,,,,
301,2425,8,0,,,,,,,,,,,,,,,,,,
302,2429,1,0,,,,,,,,,,,,,,,,,,
303,2443,4,0,,,,,,,,,,,,,,,,,,
304,2448,2,0,,,,,,,,,,,,,,,,,,
305,2449,8,0,,,,,,,,,,,,,,,,,,
306,2451,6,0,,,,,,,,,,,,,,,,,,
307,2457,7,0,,,,,,,,,,,,,,,,,,
308,2458,1,0,,,,,,,,,,,,,,,,,,
309,2476,1,0,,,,,,,,,,,,,,,,,,
310,2488,4,0,,,,,,,,,,,,,,,,,,
311,2489,8,0,,,,,,,,,,,,,,,,,,
312,2491,1,0,,,,,,,,,,,,,,,,,,
313,2601,4,0,,,,,,,,,,,,,,,,,,
314,2602,8,0,,,,,,,,,,,,,,,,,,
315,2603,7,0,,,,,,,,,,,,,,,,,,
316,2604,7,0,,,,,,,,,,,,,,,,,,
317,2609,1,0,,,,,,,,,,,,,,,,,,
318,2611,7,0,,,,,,,,,,,,,,,,,,
319,2612,1,0,,,,,,,,,,,,,,,,,,
320,2615,8,0,,,,,,,,,,,,,,,,,,
321,2626,1,0,,,,,,,,,,,,,,,,,,
322,2629,1,0,,,,,,,,,,,,,,,,,,
323,2631,1,0,,,,,,,,,,,,,,,,,,
324,2653,3,0,,,,,,,,,,,,,,,,,,
325,2654,2,0,,,,,,,,,,,,,,,,,,
326,2656,8,0,,,,,,,,,,,,,,,,,,
327,2657,3,0,,,,,,,,,,,,,,,,,,
328,2666,4,0,,,,,,,,,,,,,,,,,,
329,2667,2,0,,,,,,,,,,,,,,,,,,
330,2668,5,0,,,,,,,,,,,,,,,,,,
331,2669,1,0,,,,,,,,,,,,,,,,,,
332,2670,6,0,,,,,,,,,,,,,,,,,,
333,2673,2,0,,,,,,,,,,,,,,,,,,
334,2676,1,0,,,,,,,,,,,,,,,,,,
335,2681,8,0,,,,,,,,,,,,,,,,,,
336,2683,8,0,,,,,,,,,,,,,,,,,,
337,2684,7,0,,,,,,,,,,,,,,,,,,
338,2685,8,0,,,,,,,,,,,,,,,,,,
339,2687,8,0,,,,,,,,,,,,,,,,,,
340,2688,8,0,,,,,,,,,,,,,,,,,,
341,2689,8,0,,,,,,,,,,,,,,,,,,
342,2690,1,0,,,,,,,,,,,,,,,,,,
343,2691,7,0,,,,,,,,,,,,,,,,,,
344,2692,7,0,,,,,,,,,,,,,,,,,,
345,2693,8,0,,,,,,,,,,,,,,,,,,
346,2696,7,0,,,,,,,,,,,,,,,,,,
347,2697,8,0,,,,,,,,,,,,,,,,,,
348,2802,1,0,,,,,,,,,,,,,,,,,,
349,2803,8,0,,,,,,,,,,,,,,,,,,
350,2804,8,0,,,,,,,,,,,,,,,,,,
351,2805,7,0,,,,,,,,,,,,,,,,,,
352,2806,6,0,,,,,,,,,,,,,,,,,,
353,2808,8,0,,,,,,,,,,,,,,,,,,
354,2809,7,0,,,,,,,,,,,,,,,,,,
355,2811,2,0,,,,,,,,,,,,,,,,,,
356,2812,4,0,,,,,,,,,,,,,,,,,,
357,2813,8,0,,,,,,,,,,,,,,,,,,
358,2814,1,0,,,,,,,,,,,,,,,,,,
359,2822,2,0,,,,,,,,,,,,,,,,,,
